TCS,PHASE,LAST_UPDATED,PHASE_STATUS,PHASE_PED_STATUS,PHASE_HOLD,PHASE_CALL,PHASE_OMIT,PHASE_PED_CALL,PHASE_PED_OMIT,PHASE_STATUS_TEXT,PHASE_PED_STATUS_TEXT,PHASE_CALL_TEXT
792,2,2024-06-20T18:50:47Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
792,5,2024-06-20T18:50:47Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
792,6,2024-06-20T18:50:47Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
792,6,2024-06-20T18:50:47Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
792,6,2024-06-20T18:50:47Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
792,6,2024-06-20T18:50:47Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
981,4,2024-06-20T18:50:47Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
981,8,2024-06-20T18:50:47Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
868,3,2024-06-20T18:50:47Z,2,,,1,,,,Begin Green,,Registered
868,3,2024-06-20T18:50:47Z,2,,,2,,,,Begin Green,,Dropped
868,7,2024-06-20T18:50:47Z,2,,,1,,,,Begin Green,,Registered
868,7,2024-06-20T18:50:47Z,2,,,2,,,,Begin Green,,Dropped
517,2,2024-06-20T18:50:47Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
517,6,2024-06-20T18:50:47Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
626,3,2024-06-20T18:50:47Z,9,,,1,,,,Begin Yellow Clearance,,Registered
911,5,2024-06-20T18:50:47Z,8,,,1,,,,Green Termination,,Registered
911,5,2024-06-20T18:50:47Z,9,,,1,,,,Begin Yellow Clearance,,Registered
911,5,2024-06-20T18:50:47Z,9,,,1,,,,Begin Yellow Clearance,,Registered
532,1,2024-06-20T18:50:47Z,2,,,1,,,,Begin Green,,Registered
532,1,2024-06-20T18:50:47Z,2,,,2,,,,Begin Green,,Dropped
532,5,2024-06-20T18:50:47Z,2,,,1,,,,Begin Green,,Registered
532,5,2024-06-20T18:50:47Z,2,,,2,,,,Begin Green,,Dropped
635,2,2024-06-20T18:50:47Z,8,3,,3,,,,Green Termination,Begin Solid Dont Walk,Ped Registered
635,2,2024-06-20T18:50:47Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
635,2,2024-06-20T18:50:47Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
635,2,2024-06-20T18:50:47Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
635,6,2024-06-20T18:50:47Z,8,3,,3,,,,Green Termination,Begin Solid Dont Walk,Ped Registered
635,6,2024-06-20T18:50:47Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
635,6,2024-06-20T18:50:47Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
635,6,2024-06-20T18:50:47Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
775,4,2024-06-20T18:50:47Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
775,4,2024-06-20T18:50:47Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
775,5,2024-06-20T18:50:47Z,9,,,1,,,,Begin Yellow Clearance,,Registered
775,7,2024-06-20T18:50:47Z,2,,,1,,,,Begin Green,,Registered
775,7,2024-06-20T18:50:47Z,2,,,2,,,,Begin Green,,Dropped
941,4,2024-06-20T21:06:32Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
941,4,2024-06-20T21:06:32Z,2,3,,2,,,,Begin Green,Begin Solid Dont Walk,Dropped
941,8,2024-06-20T21:06:32Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
941,8,2024-06-20T21:06:32Z,2,3,,2,,,,Begin Green,Begin Solid Dont Walk,Dropped
100,3,2024-06-20T21:06:32Z,10,,,1,,,,End Yellow Clearance,,Registered
755,1,2024-06-20T21:06:32Z,8,,,2,,,,Green Termination,,Dropped
755,1,2024-06-20T21:06:32Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
110,2,2024-06-20T21:06:32Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
110,6,2024-06-20T21:06:32Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
429,7,2024-06-20T21:06:32Z,8,,,1,,,,Green Termination,,Registered
429,7,2024-06-20T21:06:32Z,9,,,1,,,,Begin Yellow Clearance,,Registered
429,7,2024-06-20T21:06:32Z,9,,,1,,,,Begin Yellow Clearance,,Registered
195,4,2024-06-20T21:06:32Z,9,1,,1,,,,Begin Yellow Clearance,Begin Walk,Registered
195,8,2024-06-20T21:06:32Z,9,1,,1,,,,Begin Yellow Clearance,Begin Walk,Registered
581,2,2024-06-20T21:06:32Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
581,2,2024-06-20T21:06:32Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
581,4,2024-06-20T21:06:32Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
581,8,2024-06-20T21:06:32Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
882,4,2024-06-20T21:06:32Z,10,,,2,,,,End Yellow Clearance,,Dropped
882,8,2024-06-20T21:06:32Z,10,,,1,,,,End Yellow Clearance,,Registered
192,1,2024-06-20T21:06:32Z,10,,,2,,,,End Yellow Clearance,,Dropped
462,6,2024-06-20T21:06:32Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
166,2,2024-06-20T21:06:32Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
166,2,2024-06-20T21:06:32Z,2,1,,1,,,,Begin Green,Begin Walk,Registered
316,2,2024-06-20T21:06:32Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
316,4,2024-06-20T21:06:32Z,10,1,,2,,,,End Yellow Clearance,Begin Walk,Dropped
316,6,2024-06-20T21:06:32Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
316,8,2024-06-20T21:06:32Z,10,1,,2,,,,End Yellow Clearance,Begin Walk,Dropped
223,6,2024-06-20T21:16:28Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
513,4,2024-06-20T21:16:28Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
513,8,2024-06-20T21:16:28Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
616,2,2024-06-20T21:16:28Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
616,6,2024-06-20T21:16:28Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
619,1,2024-06-20T21:16:28Z,10,,,1,,,,End Yellow Clearance,,Registered
619,3,2024-06-20T21:16:28Z,2,,,1,,,,Begin Green,,Registered
619,5,2024-06-20T21:16:28Z,10,,,1,,,,End Yellow Clearance,,Registered
619,7,2024-06-20T21:16:28Z,2,,,1,,,,Begin Green,,Registered
325,5,2024-06-20T21:16:28Z,2,,,2,,,,Begin Green,,Dropped
578,5,2024-06-20T21:16:28Z,2,,,1,,,,Begin Green,,Registered
471,4,2024-06-20T21:16:28Z,10,2,,2,,,,End Yellow Clearance,Begin Clearance,Dropped
471,8,2024-06-20T21:16:28Z,10,1,,2,,,,End Yellow Clearance,Begin Walk,Dropped
593,2,2024-06-20T21:16:28Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
593,2,2024-06-20T21:16:28Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
593,2,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
593,2,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
593,6,2024-06-20T21:16:28Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
593,6,2024-06-20T21:16:28Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
593,6,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
593,6,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
265,4,2024-06-20T21:16:28Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
265,8,2024-06-20T21:16:28Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
841,4,2024-06-20T21:16:28Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
841,8,2024-06-20T21:16:28Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
841,10,2024-06-20T21:16:28Z,2,3,,2,,,,Begin Green,Begin Solid Dont Walk,Dropped
841,10,2024-06-20T21:16:28Z,2,3,,2,,,,Begin Green,Begin Solid Dont Walk,Dropped
903,4,2024-06-20T21:16:28Z,8,3,,3,,,,Green Termination,Begin Solid Dont Walk,Ped Registered
903,4,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
903,4,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
903,4,2024-06-20T21:16:28Z,9,3,,1,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Registered
903,8,2024-06-20T21:16:28Z,8,3,,3,,,,Green Termination,Begin Solid Dont Walk,Ped Registered
903,8,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
903,8,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
903,8,2024-06-20T21:16:28Z,9,3,,1,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Registered
973,4,2024-06-20T21:16:28Z,10,2,,1,,,,End Yellow Clearance,Begin Clearance,Registered
973,8,2024-06-20T21:16:28Z,10,2,,1,,,,End Yellow Clearance,Begin Clearance,Registered
869,7,2024-06-20T21:16:28Z,9,,,1,,,,Begin Yellow Clearance,,Registered
626,4,2024-06-20T21:16:28Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
626,8,2024-06-20T21:16:28Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
402,7,2024-06-20T21:16:28Z,10,,,1,,,,End Yellow Clearance,,Registered
11,4,2024-06-20T21:16:28Z,8,3,,3,,,,Green Termination,Begin Solid Dont Walk,Ped Registered
11,4,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
11,4,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
11,8,2024-06-20T21:16:28Z,8,3,,3,,,,Green Termination,Begin Solid Dont Walk,Ped Registered
11,8,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
11,8,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
385,2,2024-06-20T21:16:28Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
385,2,2024-06-20T21:16:28Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
385,2,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
385,2,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
385,6,2024-06-20T21:16:28Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
385,6,2024-06-20T21:16:28Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
385,6,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
385,6,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
633,5,2024-06-20T21:16:28Z,10,,,1,,,,End Yellow Clearance,,Registered
708,4,2024-06-20T21:16:28Z,8,1,,1,,,,Green Termination,Begin Walk,Registered
708,4,2024-06-20T21:16:28Z,9,1,,1,,,,Begin Yellow Clearance,Begin Walk,Registered
708,4,2024-06-20T21:16:28Z,9,3,,1,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Registered
708,4,2024-06-20T21:16:28Z,9,3,,1,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Registered
708,8,2024-06-20T21:16:28Z,8,1,,1,,,,Green Termination,Begin Walk,Registered
708,8,2024-06-20T21:16:28Z,9,1,,1,,,,Begin Yellow Clearance,Begin Walk,Registered
708,8,2024-06-20T21:16:28Z,9,3,,1,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Registered
708,8,2024-06-20T21:16:28Z,9,3,,1,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Registered
717,4,2024-06-20T21:16:28Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
717,4,2024-06-20T21:16:28Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
717,4,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
717,8,2024-06-20T21:16:28Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
717,8,2024-06-20T21:16:28Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
717,8,2024-06-20T21:16:28Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
263,2,2024-06-20T21:16:28Z,10,3,,1,,,,End Yellow Clearance,Begin Solid Dont Walk,Registered
263,6,2024-06-20T21:16:28Z,10,3,,1,,,,End Yellow Clearance,Begin Solid Dont Walk,Registered
964,4,2024-06-20T21:18:04Z,9,3,,2,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Dropped
964,8,2024-06-20T21:18:04Z,9,3,,2,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Dropped
892,5,2024-06-20T21:18:04Z,10,,,1,,,,End Yellow Clearance,,Registered
790,7,2024-06-20T21:18:04Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
585,4,2024-06-20T21:18:04Z,10,3,,2,,,,End Yellow Clearance,Begin Solid Dont Walk,Dropped
484,3,2024-06-20T21:18:04Z,2,,,1,,,,Begin Green,,Registered
360,5,2024-06-20T21:18:04Z,10,,,2,,,,End Yellow Clearance,,Dropped
755,6,2024-06-20T21:18:04Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
984,2,2024-06-20T21:18:04Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
984,6,2024-06-20T21:18:04Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
41,1,2024-06-20T21:18:04Z,10,,,1,,,,End Yellow Clearance,,Registered
41,5,2024-06-20T21:18:04Z,10,,,1,,,,End Yellow Clearance,,Registered
686,8,2024-06-20T21:24:21Z,10,3,,1,,,,End Yellow Clearance,Begin Solid Dont Walk,Registered
916,3,2024-06-20T21:24:21Z,2,,,2,,,,Begin Green,,Dropped
921,4,2024-06-20T21:24:21Z,9,2,,1,,,,Begin Yellow Clearance,Begin Clearance,Registered
921,8,2024-06-20T21:24:21Z,9,2,,1,,,,Begin Yellow Clearance,Begin Clearance,Registered
214,2,2024-06-20T21:24:21Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
214,6,2024-06-20T21:24:21Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
323,4,2024-06-20T21:24:21Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
323,4,2024-06-20T21:24:21Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
323,4,2024-06-20T21:24:21Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
323,8,2024-06-20T21:24:21Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
323,8,2024-06-20T21:24:21Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
323,8,2024-06-20T21:24:21Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
375,5,2024-06-20T21:24:21Z,10,,,1,,,,End Yellow Clearance,,Registered
470,4,2024-06-20T21:24:21Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
470,8,2024-06-20T21:24:21Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
737,2,2024-06-20T21:24:21Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
737,4,2024-06-20T21:24:21Z,2,3,,1,,,,Begin Green,Begin Solid Dont Walk,Registered
737,6,2024-06-20T21:24:21Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
835,4,2024-06-20T21:24:21Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
835,8,2024-06-20T21:24:21Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
900,2,2024-06-20T21:24:21Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
900,6,2024-06-20T21:24:21Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
591,4,2024-06-20T21:24:21Z,2,1,,1,,,,Begin Green,Begin Walk,Registered
591,4,2024-06-20T21:24:21Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
591,8,2024-06-20T21:24:21Z,2,1,,1,,,,Begin Green,Begin Walk,Registered
591,8,2024-06-20T21:24:21Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
815,4,2024-06-20T21:24:21Z,2,2,,2,,,,Begin Green,Begin Clearance,Dropped
815,8,2024-06-20T21:24:21Z,2,2,,2,,,,Begin Green,Begin Clearance,Dropped
67,4,2024-06-20T21:24:21Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
67,4,2024-06-20T21:24:21Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
67,8,2024-06-20T21:24:21Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
67,8,2024-06-20T21:24:21Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
108,1,2024-06-20T21:24:21Z,2,,,2,,,,Begin Green,,Dropped
108,6,2024-06-20T21:24:21Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
108,6,2024-06-20T21:24:21Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
442,2,2024-06-20T21:24:21Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
442,4,2024-06-20T21:24:21Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
442,6,2024-06-20T21:24:21Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
442,8,2024-06-20T21:24:21Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
273,4,2024-06-20T21:24:21Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
273,4,2024-06-20T21:24:21Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
273,7,2024-06-20T21:24:21Z,2,,,2,,,,Begin Green,,Dropped
273,7,2024-06-20T21:24:21Z,2,,,2,,,,Begin Green,,Dropped
973,2,2024-06-20T21:24:21Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
973,4,2024-06-20T21:24:21Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
973,4,2024-06-20T21:24:21Z,2,1,,1,,,,Begin Green,Begin Walk,Registered
973,4,2024-06-20T21:24:21Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
973,5,2024-06-20T21:24:21Z,2,,,2,,,,Begin Green,,Dropped
973,6,2024-06-20T21:24:21Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
973,8,2024-06-20T21:24:21Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
973,8,2024-06-20T21:24:21Z,2,1,,1,,,,Begin Green,Begin Walk,Registered
973,8,2024-06-20T21:24:21Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
918,2,2024-06-20T21:24:21Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
918,6,2024-06-20T21:24:21Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
869,1,2024-06-20T21:24:21Z,2,,,1,,,,Begin Green,,Registered
869,2,2024-06-20T21:24:21Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
869,2,2024-06-20T21:24:21Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
629,1,2024-06-20T21:24:21Z,10,,,1,,,,End Yellow Clearance,,Registered
629,1,2024-06-20T21:24:21Z,10,,,2,,,,End Yellow Clearance,,Dropped
629,3,2024-06-20T21:24:21Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
403,3,2024-06-20T21:24:21Z,2,,,1,,,,Begin Green,,Registered
432,4,2024-06-20T21:24:21Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
432,8,2024-06-20T21:24:21Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
717,3,2024-06-20T21:24:21Z,10,,,1,,,,End Yellow Clearance,,Registered
939,4,2024-06-20T21:28:03Z,8,3,,2,,,,Green Termination,Begin Solid Dont Walk,Dropped
939,4,2024-06-20T21:28:03Z,9,3,,2,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Dropped
939,8,2024-06-20T21:28:03Z,8,3,,2,,,,Green Termination,Begin Solid Dont Walk,Dropped
939,8,2024-06-20T21:28:03Z,9,3,,2,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Dropped
747,7,2024-06-20T21:28:03Z,8,2,,1,,,,Green Termination,Begin Clearance,Registered
747,7,2024-06-20T21:28:03Z,9,2,,1,,,,Begin Yellow Clearance,Begin Clearance,Registered
813,4,2024-06-20T21:28:03Z,10,3,,2,,,,End Yellow Clearance,Begin Solid Dont Walk,Dropped
813,8,2024-06-20T21:28:03Z,10,3,,2,,,,End Yellow Clearance,Begin Solid Dont Walk,Dropped
739,4,2024-06-20T21:28:03Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
739,8,2024-06-20T21:28:03Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
929,4,2024-06-20T21:28:03Z,9,2,,2,,,,Begin Yellow Clearance,Begin Clearance,Dropped
929,8,2024-06-20T21:28:03Z,9,2,,2,,,,Begin Yellow Clearance,Begin Clearance,Dropped
896,4,2024-06-20T21:28:03Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
896,8,2024-06-20T21:28:03Z,10,,,1,,,,End Yellow Clearance,,Registered
941,4,2024-06-20T21:28:03Z,2,3,,1,,,,Begin Green,Begin Solid Dont Walk,Registered
941,8,2024-06-20T21:28:03Z,2,3,,1,,,,Begin Green,Begin Solid Dont Walk,Registered
445,1,2024-06-20T21:28:03Z,2,,,2,,,,Begin Green,,Dropped
445,6,2024-06-20T21:28:03Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
445,6,2024-06-20T21:28:03Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
360,4,2024-06-20T21:28:03Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
360,8,2024-06-20T21:28:03Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
867,4,2024-06-20T21:28:03Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
867,8,2024-06-20T21:28:03Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
793,3,2024-06-20T21:28:03Z,2,,,1,,,,Begin Green,,Registered
56,2,2024-06-20T21:28:03Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
946,2,2024-06-20T21:34:51Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
946,2,2024-06-20T21:34:51Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
946,6,2024-06-20T21:34:51Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
946,6,2024-06-20T21:34:51Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
946,6,2024-06-20T21:34:51Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
593,2,2024-06-20T21:34:51Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
593,6,2024-06-20T21:34:51Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
692,1,2024-06-20T21:34:51Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
700,4,2024-06-20T21:34:51Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
700,8,2024-06-20T21:34:51Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
137,7,2024-06-20T21:34:51Z,2,,,2,,,,Begin Green,,Dropped
506,4,2024-06-20T21:34:51Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
506,8,2024-06-20T21:34:51Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
273,2,2024-06-20T21:34:51Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
273,2,2024-06-20T21:34:51Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
273,6,2024-06-20T21:34:51Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
273,6,2024-06-20T21:34:51Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
684,2,2024-06-20T21:34:51Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
684,2,2024-06-20T21:34:51Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
684,2,2024-06-20T21:34:51Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
684,2,2024-06-20T21:34:51Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
684,6,2024-06-20T21:34:51Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
684,6,2024-06-20T21:34:51Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
684,6,2024-06-20T21:34:51Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
684,6,2024-06-20T21:34:51Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
402,3,2024-06-20T21:34:51Z,8,,,2,,,,Green Termination,,Dropped
402,3,2024-06-20T21:34:51Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
402,3,2024-06-20T21:34:51Z,9,,,1,,,,Begin Yellow Clearance,,Registered
401,4,2024-06-20T21:34:51Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
401,4,2024-06-20T21:34:51Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
401,4,2024-06-20T21:34:51Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
401,7,2024-06-20T21:34:51Z,2,,,2,,,,Begin Green,,Dropped
401,7,2024-06-20T21:34:51Z,2,,,2,,,,Begin Green,,Dropped
542,2,2024-06-20T21:34:51Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
542,6,2024-06-20T21:34:51Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
